SMILES;toxicant;SMR_VSA4;fr_pyridine;fr_lactam;EState_VSA6;EState_VSA7;GATS3se;fr_thiazole;PEOE_VSA9;fr_azo;fr_HOCCN;fr_Ndealkylation1;qed;ATSC8i;fr_unbrch_alkane;PEOE_VSA8;fr_furan;fr_ArN;GATS4d;ATSC7c;GATS7d;ATSC4s;FpDensityMorgan2;fr_para_hydroxylation;EState_VSA3;MATS3Z;MATS2i;MinAbsPartialCharge
O=CC;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.2764154855977814;0.504458823774674;0.0;0.0;0.0;0.0;0.6324911594778526;0.4920184920347726;0.4821241726252702;0.4732233200051094;0.734806629834254;0.0;0.0;0.1710142508300733;0.0306813516634305;0.2661915218537787
O=C(Nc1ccc(O)cc1)C;0;0.0;0.0;0.0;0.2;0.0;0.6903666702328507;0.0;0.0;0.0;0.0;0.0;0.5852208459982372;0.5299464382348454;0.0;0.233184629481292;0.0;0.0;0.5992511159715027;0.6360826599386715;0.5996158156326756;0.4721121504457451;0.6926167754897036;0.0;0.1344646628073934;0.0298064079856008;0.1739721028372602;0.5068937552777182
O=C(Nc1nnc(s1)S(=O)(=O)N)C;1;0.1489488306188024;0.0;0.0;0.0;0.0;0.716063972873544;0.0;0.0;0.0;0.0;0.0;0.632609144058109;0.559049065171917;0.0;0.1280226219984588;0.0;0.0;0.5761580241852838;0.650883407025;0.844863093166261;0.5140583543536343;0.8062048448788779;0.0;0.2680312215088518;0.4238538162941697;0.1070548750158076;0.6132543348050808
O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)C(=O)C;1;0.0;0.0;0.0;0.0;0.0648671438655291;0.2232041696452897;0.0;0.0922419790424266;0.0;0.0;0.0;0.8882745761568768;0.5640246156638791;0.0;0.2145864161394713;0.0;0.0;0.4888556373501432;0.6044247126639449;0.8272322418131918;0.8081876237520883;0.5660472124560522;0.0;0.1315345209110047;0.6972442095573158;0.467553486832426;0.7552554430371139
O=C(O)C=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C;1;0.1569489433904057;0.0;0.0;0.2142922965230516;0.1669318731255827;0.0;0.0;0.0;0.0;0.0;0.0;0.5010097100024099;0.8407260596524554;0.0;0.1123479997806657;0.0;0.0;0.6093641967586045;0.4365493889367969;0.4377561521980997;0.5692020271713549;0.6715218483174283;0.0;0.0;0.2736818610750543;0.5886201421576729;0.754468608999391
O=C(N)NC1NC(=O)NC1(=O);0;0.1661855283731985;0.0;0.0;0.0;0.146072834696726;0.6049810347019303;0.0;0.0;0.0;0.0;0.0;0.2379857493974285;0.504458823774674;0.0;0.0;0.0;0.0;0.5244702676759516;0.4793699599263505;0.0;0.4695962272580732;0.819186338523355;0.0;0.0;0.0905377118697621;0.6198124426767095;0.7429319926312976
O=C(NC(=N)N)c1nc(c(nc1(N))N)Cl;1;0.1661855283731985;0.0;0.0;0.0;0.073036417348363;0.3818295978766541;0.0;0.0;0.0;0.0;0.0;0.2112543535333515;0.511294741050304;0.0;0.0;0.0;0.6666666666666666;0.7044505212047733;0.0678129752789671;0.4523581924897715;0.7490289869665716;0.703867403314917;0.0;0.0;0.5589087767902035;0.3984826362131928;0.6434373132805731
n2c1ccccc1c(N)c3ccccc23;0;0.0;0.5;0.0;0.0;0.6666666666666666;0.3412567614398801;0.0;0.3150574518787065;0.0;0.0;0.0;0.5383747020172173;0.5355171687656125;0.0;0.1991868052525691;0.0;0.3333333333333333;0.8105500174735042;0.5074254553751805;0.2314071844869994;0.4783467575380812;0.3635359116022099;0.6666666666666666;0.0;0.7169088262142306;0.250840062331676;0.1660501036500271
O=C2NC(=O)C(c1ccc(N)cc1)(CC)CC2;1;0.0;0.0;0.0;0.2;0.2617776438730849;0.2820799397672987;0.0;0.1020306655902272;0.0;0.0;0.0;0.587678258518717;0.6683054580903733;0.0;0.2238855228103817;0.0;0.3333333333333333;0.5612713008534553;0.6542689285506005;0.4654590225109931;0.5065071129081846;0.707507312317192;0.0;0.5898796317095379;0.582859996221166;0.4479271856926263;0.5437032342163911
O=C(O)CCC(NC(=O)c1ccc(cc1)NCc2nc3c(nc2)nc(nc3(N))N)C(=O)O;1;0.0;0.0;0.0;0.2;0.0;0.2601841759162687;0.0;0.3473670360380379;0.0;0.0;0.0;0.1585791023594927;0.2763441140664852;0.0;0.3267559274467841;0.0;0.6666666666666666;0.5961331478511936;0.1388634306677968;0.4718767048435043;0.1024798727518437;0.6187845303867402;0.0;0.5542483310251546;0.5073260724264426;0.3822120496869053;0.7490530240472453
c1ccc3c(c1)C(=CCCN(C)C)c2ccccc2CC3;1;0.0;0.0;0.0;0.0;0.0;0.1494978182418277;0.0;0.0;0.0;0.0;0.0;0.8665364348946375;0.5943306269144443;0.0;0.1210151181739793;0.0;0.0;0.668865325406796;0.5143055880861869;0.6213032962183288;0.477647630051665;0.4475138121546961;0.0;0.0;0.5746250137292386;0.7552938025774467;0.0
O=C1NC(=O)C(C(=O)N1)(CC)CCC(C)C;1;0.3284744716952028;0.0;0.0;0.1141331726477019;0.1902219544128365;0.1918567559136101;0.0;0.0;0.0;0.0;0.0;0.7290068229331312;0.5832494897012002;0.0;0.0;0.0;0.0;0.4906939665118613;0.3615756396565873;0.1749325236167342;0.9118945399494915;0.5607734806629834;0.0;0.4435247314214835;0.7129730328022126;0.5935638990784458;0.6362516755840393
O=C(O)C3N2C(=O)C(NC(=O)C(N)c1ccc(O)cc1)C2SC3(C)(C);0;0.1661855283731985;0.0;1.0;0.2282663452954039;0.0;0.139808476608848;0.0;0.0;0.0;0.0;0.0;0.5311909517326422;0.4526925805753832;0.0;0.0877743108409174;0.0;0.0;0.6506415068394354;0.3828406916602545;0.6037322908310774;0.1736053373921166;0.6976795580110496;0.0;0.1315345209110047;0.1863348430636086;0.440643427723511;0.7529243517012615
O=C(O)C3N2C(=O)C(NC(=O)C(N)c1ccccc1)C2SC3(C)(C);0;0.1661855283731985;0.0;1.0;0.628266345295404;0.0833333333333333;0.1007493506203254;0.0;0.0;0.0;0.0;0.0;0.6879577004426182;0.3993141882019398;0.0;0.0877743108409174;0.0;0.0;0.694771815492142;0.2250778824507822;0.6236200502049786;0.2320965662621877;0.7154696132596684;0.0;0.1315345209110047;0.2358943575702686;0.4421420296333668;0.7529243517012615
O=C1OC(C(O)=C1(O))C(O)CO;0;0.0;0.0;0.0;0.0;0.0;0.0567392794311565;0.0;0.1244885966328238;0.0;0.0;0.0;0.3150103203310453;0.5108603504978835;0.0;0.0;0.0;0.0;0.5828889408232063;0.4318481776644488;0.0;0.3591450132143752;0.7734806629834253;0.0;0.0;0.8392022940062889;0.2136885466694255;0.8684928337911918
O=C1N=C(N=CN1C2OC(CO)C(O)C2(O))N;0;0.0;0.0;0.0;0.0;0.0;0.2672119548124763;0.0;0.1244885966328238;0.0;0.0;0.0;0.3680719225044225;0.450517406206684;0.0;0.0;0.0;0.3333333333333333;0.5685600377601396;0.5833685141507658;0.5400438902838807;0.4317069122093891;0.8167045823854401;0.0;0.0;0.6560806123098388;0.8233147420712708;0.8137703066273494
n1cccc3c1C(c2ccccc2CC3)=C4CCN(C)CC4;0;0.0;0.5;0.0;0.0918688972687333;0.0851256815059021;0.2582218747034192;0.0;0.1072864793429514;0.0;0.0;0.0;0.7654486891020028;1.0;0.0;0.4596612025883419;0.0;0.0;0.7021685780025587;0.5134642195339896;0.4122769344437825;0.4700891902000031;0.5449522852837769;0.0;0.0;0.6045061498087457;0.6250170031217176;0.168182634619593
